attrition,마찰;마모;감소
abbreviated,(어구를) 줄여서 쓴;생략한
abridged,요약된
acumen,통찰력;안목
allude,암시하다;언급하다
allusive,암시적인
denote,나타내다;의미하다
discourse,담화;화법
effuse,암시하다;언급하다
effusive,암시적인
embellish,아름답게 하다;미화하다
emendation,수정;교정
epitome,요약;개요;전형
excerpt,발췌;인용구
fumble,말을 더듬다
hyperbole,과장
inarticulate,발음이 정확하지 않은
jargon,전문 용어;은어
larger-than-life,영웅적인;전설적인
misnomer,잘못된 명칭
parlance,전문 용어;말투;어조
posthumous work,유작
ramble,장황하게 쓰다
scribble,급히 갈겨쓰다
soliloquy,독백
succinct,간결한;간단 명료한
trenchant,날카로운;신랄한
verbiage,장황;다변
verbatim,말 그대로;축어적으로
verbose,말이 많은
abiding,지속적인;변함없는
acuity,예민한;예리한
cyclically,주기적으로;순환하여
discrete,분리된;따로따로의
dispel,없애다;떨쳐버리다
dissipate,"(구름, 안개를)흩뜨리다;낭비하다"
dredge,물 밑바닥을 긁어내다;캐내다
engulf,집어삼키다
ensue,계속되다
entwine,엉키게 하다
fall foliage,단풍
fallacy,오류;그릇된 생각
frigid,몹시 추운;냉담한
fringe,언저리;주변
gale,강풍
gust,"돌풍, 질풍"
hardy,튼튼한;내구력이 있는
inclement,날씨가 궂은
muggy,무더운;후덥지근한
recant,철회하다;취소하다
sleet,진눈깨비
static,정적인;고정된
stifle,억제하다;참다;숨막히게 하다
stifling heat,숨막히는 더위
sultry,무더운
torrential rainstorm,폭우
torrid,무더운
undulate,물결치다;굽어치다
variable,변하기 쉬운;변수
abdicate,사임하다;퇴위하다
chauvinist,맹목적 애국주의자;남성 우월주의자
clique,파벌;도당
collusion,공모;결탁
conscript,군대에 징집하다
demarcation,경계;구분
depose,물러나게 하다;중언하다
deputy,보좌관;대리
envoy,외교 사절
expulsion,추방;제명
extraterritoriality,치외 법권
impeach,(공무원을)탄핵하다
inception,시작;발단
intransigence,비타협적 태도
machination,음모;책모
munitions,군수품;무기
partisan,당파적인;열성적인 지지자
ploy,책략;계약
polarize,분열시키다
ratify,(조약을)비준하다
referendum,국민 투표
reparation,보상;배상금
repatriate,본국으로 송환하다
retinue,수행원
seditious,선동적인
subvert,타락시키다;무너뜨리다
succumb to,~에 굴복하다;~의 병으로 쓰러지다
suffrage,투표권;참정권
supersede,대신하다;대체하다
assail,습격하다;엄습하다
bungle,실수하다;서투르게 하다
burst at the seams,넘칠 정도로 가득 차다
cockpit,(비행기)조종실
confiscate,압수하다
defer,연기하다;미루다
dismay,당황시키다;낙담시키다
fastidious,까다로운
frail,여린;깨지기 쉬운
halt,중단하다;중지;멈춤
impede,방해하다;지연시키다
jitters,초조;신경과민
languish,기력이 없어지다
linger,꾸물거리다;좀처럼 사라지지 않다
overt,명백한;공공연한
prerogative,특권
quarantine,검역소
queasy,메스꺼운;멀미가 나는
red-eye flight,야간 비행편
retract,철회하다;취소하다;집어 넣다
scrutinize,세밀히 조사하다
scrutiny,정밀 조사
seedy,저급한;초라한;기분이 언짢은
stickler,까다로운 사람;깐깐한 사람
tamper,함부로 변경하다;간섭하다
tamper-proof,밀봉의
unobtrusively,주제넘지 않게;삼가
vociferous,큰 소리로 외치는;떠들썩한
zilch,제로(0);무
